"SCIENTIFIC NAME","OBSERVATION COUNT","LATITUDE","LONGITUDE","OBSERVATION DATE"
"Pycnonotus penicillatus","2",6.953947,80.7805824,"2/10/15"
"Pycnonotus penicillatus","3",6.9674935,80.7675362,"2/17/15"
"Pycnonotus penicillatus","4",6.8099156,80.8032417,"2/13/15"
"Pycnonotus penicillatus","3",6.8028219,80.78848,"2/11/15"
"Pycnonotus penicillatus","X",6.9693348,80.7691758,"2/25/15"
"Pycnonotus penicillatus","4",6.9690697,80.7681799,"2/8/15"
"Pycnonotus penicillatus","1",6.9687521,80.7681799,"3/5/15"
"Pycnonotus penicillatus","2",6.8017992,80.8074045,"3/4/15"
"Pycnonotus penicillatus","X",6.7952178,80.8202435,"3/28/15"
"Pycnonotus penicillatus","X",6.9693348,80.7691758,"3/28/15"
"Pycnonotus penicillatus","X",6.9280336,80.8224474,"3/27/15"
"Pycnonotus penicillatus","X",6.9280336,80.8224474,"3/21/15"
"Pycnonotus penicillatus","6",6.8023532,80.7385254,"3/9/15"
"Pycnonotus penicillatus","1",6.9823069,80.7613939,"4/29/15"
"Pycnonotus penicillatus","10",6.8024413,80.8083916,"4/20/15"
"Pycnonotus penicillatus","4",7.3757459,80.8524656,"4/12/15"
"Pycnonotus penicillatus","10",6.7977776,80.8036897,"4/28/15"
"Pycnonotus penicillatus","10",6.7977776,80.8036897,"4/28/15"
"Pycnonotus penicillatus","1",6.9823069,80.7613939,"4/29/15"
"Pycnonotus penicillatus","10",6.7977776,80.8036897,"4/28/15"
"Pycnonotus penicillatus","2",6.9804227,80.7712269,"4/19/15"
"Pycnonotus penicillatus","2",6.9804227,80.7712269,"4/19/15"
"Pycnonotus penicillatus","X",6.8017992,80.8074045,"4/22/15"
"Pycnonotus penicillatus","10",6.8024413,80.8083916,"4/20/15"
"Pycnonotus penicillatus","2",6.9661985,80.777514,"5/9/15"
"Pycnonotus penicillatus","10",7.1682591,80.69031,"5/9/15"
"Pycnonotus penicillatus","2",6.9674935,80.7675362,"7/8/15"
"Pycnonotus penicillatus","2",6.9674935,80.7675362,"7/8/15"
"Pycnonotus penicillatus","8",7.4524328,80.7968903,"7/15/15"
"Pycnonotus penicillatus","3",6.9674935,80.7675362,"7/29/15"
"Pycnonotus penicillatus","1",7.2995991,80.6427813,"7/21/15"
"Pycnonotus penicillatus","1",6.8017992,80.8074045,"8/1/15"
"Pycnonotus penicillatus","X",6.9709007,80.7727211,"8/19/15"
"Pycnonotus penicillatus","X",6.8017992,80.8074045,"9/2/15"
"Pycnonotus penicillatus","X",6.8017992,80.8074045,"9/2/15"
"Pycnonotus penicillatus","2",6.9910871,80.8337975,"10/11/15"
"Pycnonotus penicillatus","2",6.8131555,80.8043146,"10/13/15"
"Pycnonotus penicillatus","X",6.8017992,80.8074045,"11/24/15"
"Pycnonotus penicillatus","X",6.9674935,80.7675362,"11/24/15"
"Pycnonotus penicillatus","X",6.8017992,80.8074045,"11/14/15"
"Pycnonotus penicillatus","X",6.8017992,80.8074045,"11/12/15"
"Pycnonotus penicillatus","X",6.970745,80.767918,"11/14/15"
"Pycnonotus penicillatus","X",6.8017992,80.8074045,"11/14/15"
"Pycnonotus penicillatus","X",6.9709007,80.7727211,"12/7/15"
"Pycnonotus penicillatus","10",6.8228071,80.7930279,"12/21/15"
"Pycnonotus penicillatus","1",6.9674935,80.7675362,"12/22/15"
"Pycnonotus penicillatus","X",6.8017992,80.8074045,"12/18/15"
"Pycnonotus penicillatus","2",7.535,80.738,"12/22/15"
"Pycnonotus penicillatus","4",6.9674935,80.7675362,"12/5/15"
"Pycnonotus penicillatus","X",6.8017992,80.8074045,"12/26/15"
"Pycnonotus penicillatus","2",6.9674935,80.7675362,"12/20/15"
"Pycnonotus penicillatus","8",6.8017992,80.8074045,"1/11/16"
"Pycnonotus penicillatus","10",6.8017992,80.8074045,"1/26/16"
"Pycnonotus penicillatus","2",6.9674935,80.7675362,"1/1/16"
"Pycnonotus penicillatus","3",6.9674935,80.7675362,"1/10/16"
"Pycnonotus penicillatus","3",6.8018923,80.807029,"1/1/16"
"Pycnonotus penicillatus","X",6.7937452,80.8012247,"1/10/16"
"Pycnonotus penicillatus","4",6.8017992,80.8074045,"1/26/16"
"Pycnonotus penicillatus","3",6.9604793,80.800361,"1/2/16"
"Pycnonotus penicillatus","3",6.9674935,80.7675362,"1/10/16"
"Pycnonotus penicillatus","4",6.9709007,80.7727211,"1/27/16"
"Pycnonotus penicillatus","8",6.8017992,80.8074045,"1/11/16"
"Pycnonotus penicillatus","4",6.9674935,80.7675362,"2/19/16"
"Pycnonotus penicillatus","X",6.8017992,80.8074045,"2/3/16"
"Pycnonotus penicillatus","8",6.9521238,80.77672,"2/20/16"
"Pycnonotus penicillatus","1",7.298234,80.643079,"2/24/16"
"Pycnonotus penicillatus","X",6.8017992,80.8074045,"2/26/16"
"Pycnonotus penicillatus","1",6.9674935,80.7675362,"2/21/16"
"Pycnonotus penicillatus","10",6.8237616,80.8013535,"2/20/16"
"Pycnonotus penicillatus","3",6.8543851,80.8314961,"2/25/16"
"Pycnonotus penicillatus","X",6.8316432,80.7936931,"2/23/16"
"Pycnonotus penicillatus","X",6.953,80.826,"2/24/16"
"Pycnonotus penicillatus","X",6.8017992,80.8074045,"2/18/16"
"Pycnonotus penicillatus","X",6.9674935,80.7675362,"2/25/16"
"Pycnonotus penicillatus","8",6.8017992,80.8074045,"2/25/16"
"Pycnonotus penicillatus","1",6.9674935,80.7675362,"2/21/16"
"Pycnonotus penicillatus","X",6.9709007,80.7727211,"3/4/16"
"Pycnonotus penicillatus","1",6.9507714,80.790088,"3/5/16"
"Pycnonotus penicillatus","X",6.9674935,80.7675362,"3/7/16"
"Pycnonotus penicillatus","2",6.9674935,80.7675362,"3/23/16"
"Pycnonotus penicillatus","1",6.8017992,80.8074045,"3/24/16"
"Pycnonotus penicillatus","1",6.9693,80.7739,"3/24/16"
"Pycnonotus penicillatus","3",6.8118789,80.8039713,"3/24/16"
"Pycnonotus penicillatus","3",7.2281176,80.6520724,"3/6/16"
"Pycnonotus penicillatus","2",6.9674935,80.7675362,"3/24/16"
"Pycnonotus penicillatus","1",6.8017992,80.8074045,"3/6/16"
"Pycnonotus penicillatus","1",6.9693,80.7739,"3/24/16"
"Pycnonotus penicillatus","2",6.9674935,80.7675362,"3/24/16"
"Pycnonotus penicillatus","2",6.9674935,80.7675362,"3/23/16"
"Pycnonotus penicillatus","10",6.8312222,80.8070236,"3/5/16"
"Pycnonotus penicillatus","1",6.9674935,80.7675362,"3/23/16"
"Pycnonotus penicillatus","14",6.802405,80.806681,"3/24/16"
"Pycnonotus penicillatus","3",6.8118789,80.8039713,"3/24/16"
"Pycnonotus penicillatus","1",6.970182,80.768343,"3/23/16"
"Pycnonotus penicillatus","X",6.9663221,80.7779002,"3/4/16"
"Pycnonotus penicillatus","10",6.8312222,80.8070236,"3/5/16"
"Pycnonotus penicillatus","3",7.2281176,80.6520724,"3/6/16"
"Pycnonotus penicillatus","3",6.9674935,80.7675362,"5/29/16"
"Pycnonotus penicillatus","22",7.1682591,80.69031,"5/14/16"
"Pycnonotus penicillatus","3",6.9708474,80.7710981,"5/30/16"
"Pycnonotus penicillatus","3",6.969488,80.768511,"5/4/16"
"Pycnonotus penicillatus","2",6.9661985,80.777514,"5/14/16"
"Pycnonotus penicillatus","4",6.8022827,80.8074026,"5/14/16"
"Pycnonotus penicillatus","6",6.800238,80.806694,"5/5/16"
"Pycnonotus penicillatus","3",6.80236,80.806817,"6/20/16"
"Pycnonotus penicillatus","1",6.8020975,80.8074045,"6/30/16"
"Pycnonotus penicillatus","1",7.055955,80.698848,"6/19/16"
"Pycnonotus penicillatus","2",6.9499514,80.7897442,"8/12/16"
"Pycnonotus penicillatus","X",6.8017992,80.8074045,"8/16/16"
"Pycnonotus penicillatus","4",6.8017992,80.8074045,"8/15/16"
"Pycnonotus penicillatus","3",6.7937452,80.8012247,"8/13/16"
"Pycnonotus penicillatus","10",6.7937452,80.8012247,"9/2/16"
"Pycnonotus penicillatus","2",6.9257665,80.8217919,"10/15/16"
"Pycnonotus penicillatus","1",6.9674935,80.7675362,"11/24/16"
"Pycnonotus penicillatus","2",6.953947,80.7805824,"11/24/16"
"Pycnonotus penicillatus","1",6.8017992,80.8074045,"11/25/16"
"Pycnonotus penicillatus","1",6.9395268,80.8010101,"11/13/16"
"Pycnonotus penicillatus","3",6.8017992,80.8074045,"11/10/16"
"Pycnonotus penicillatus","31",6.826888,80.806345,"12/5/16"
"Pycnonotus penicillatus","1",6.9674935,80.7675362,"12/27/16"
"Pycnonotus penicillatus","4",6.9737554,80.7707891,"12/9/16"
"Pycnonotus penicillatus","X",6.9709007,80.7727211,"12/3/16"
"Pycnonotus penicillatus","31",6.8271266,80.8064195,"12/5/16"
"Pycnonotus penicillatus","2",6.9674935,80.7675362,"12/8/16"
"Pycnonotus penicillatus","2",6.9674935,80.7675362,"12/6/16"
"Pycnonotus penicillatus","1",6.9674935,80.7675362,"12/17/16"
"Pycnonotus penicillatus","2",6.9674935,80.7675362,"12/6/16"
"Pycnonotus penicillatus","1",6.8016211,80.8075108,"12/27/16"
"Pycnonotus penicillatus","1",6.9674935,80.7675362,"12/17/16"
"Pycnonotus penicillatus","2",6.9674935,80.7675362,"12/6/16"
"Pycnonotus penicillatus","12",6.802055,80.807394,"12/26/16"
"Pycnonotus penicillatus","2",6.9674935,80.7675362,"12/9/16"
"Pycnonotus penicillatus","2",6.831153,80.807199,"12/9/16"
"Pycnonotus penicillatus","X",6.9674935,80.7675362,"12/2/16"
"Pycnonotus penicillatus","X",6.8017992,80.8074045,"12/3/16"
"Pycnonotus penicillatus","31",6.8271266,80.8064195,"12/5/16"
"Pycnonotus penicillatus","5",6.854268,80.831633,"12/8/16"
"Pycnonotus penicillatus","2",6.953947,80.7805824,"12/10/16"
"Pycnonotus penicillatus","8",6.831153,80.807199,"12/10/16"
"Pycnonotus penicillatus","12",6.802055,80.807394,"12/26/16"
"Pycnonotus penicillatus","1",6.93904,80.800474,"1/24/17"
"Pycnonotus penicillatus","2",6.7937452,80.8012247,"1/17/17"
"Pycnonotus penicillatus","X",6.8017992,80.8074045,"1/26/17"
"Pycnonotus penicillatus","5",6.840466,80.812757,"1/19/17"
"Pycnonotus penicillatus","2",6.982343,80.766114,"1/26/17"
"Pycnonotus penicillatus","2",6.7937452,80.8012247,"1/17/17"
"Pycnonotus penicillatus","10",6.9709007,80.7727211,"1/1/17"
"Pycnonotus penicillatus","2",6.9674935,80.7675362,"1/15/17"
"Pycnonotus penicillatus","2",6.9674935,80.7675362,"1/15/17"
"Pycnonotus penicillatus","X",6.8017992,80.8074045,"1/5/17"
"Pycnonotus penicillatus","1",6.8017992,80.8074045,"1/2/17"
"Pycnonotus penicillatus","2",6.93904,80.800474,"1/25/17"
"Pycnonotus penicillatus","2",6.980862,80.765178,"1/26/17"
"Pycnonotus penicillatus","1",6.9674935,80.7675362,"1/25/17"
"Pycnonotus penicillatus","1",6.9674935,80.7675362,"1/27/17"
"Pycnonotus penicillatus","X",6.8017992,80.8074045,"1/28/17"
"Pycnonotus penicillatus","X",6.9674935,80.7675362,"1/25/17"
"Pycnonotus penicillatus","X",6.9709007,80.7727211,"1/13/17"
"Pycnonotus penicillatus","6",6.9593784,80.781136,"1/25/17"
"Pycnonotus penicillatus","X",6.8017992,80.8074045,"1/28/17"
"Pycnonotus penicillatus","X",6.8017992,80.8074045,"1/14/17"
"Pycnonotus penicillatus","5",6.8020975,80.8073616,"1/28/17"
"Pycnonotus penicillatus","2",6.9674935,80.7675362,"1/13/17"
"Pycnonotus penicillatus","1",7.3986001,80.691061,"2/7/17"
"Pycnonotus penicillatus","2",6.939155,80.8003967,"2/11/17"
"Pycnonotus penicillatus","5",6.9817247,80.7658032,"2/12/17"
"Pycnonotus penicillatus","2",6.9709007,80.7727211,"2/24/17"
"Pycnonotus penicillatus","6",6.8019311,80.8077656,"2/10/17"
"Pycnonotus penicillatus","2",6.9763422,80.7698099,"2/10/17"
"Pycnonotus penicillatus","2",6.939155,80.8003967,"2/11/17"
"Pycnonotus penicillatus","2",6.939155,80.8003967,"2/11/17"
"Pycnonotus penicillatus","2",6.9674935,80.7675362,"2/2/17"
"Pycnonotus penicillatus","2",6.9709007,80.7727211,"2/24/17"
"Pycnonotus penicillatus","6",6.8019311,80.8077656,"2/10/17"
"Pycnonotus penicillatus","1",6.9819598,80.7648578,"2/13/17"
"Pycnonotus penicillatus","6",6.8470542,80.8137136,"2/13/17"
"Pycnonotus penicillatus","2",6.9674935,80.7675362,"2/27/17"
"Pycnonotus penicillatus","X",6.8017992,80.8074045,"2/20/17"
"Pycnonotus penicillatus","5",6.8017992,80.8074045,"2/2/17"
"Pycnonotus penicillatus","1",6.9674935,80.7675362,"2/9/17"
"Pycnonotus penicillatus","2",7.9574816,80.7520652,"2/4/17"
"Pycnonotus penicillatus","1",6.9674935,80.7675362,"2/9/17"
"Pycnonotus penicillatus","1",6.8017566,80.8065623,"2/21/17"
"Pycnonotus penicillatus","2",6.9709007,80.7727211,"2/22/17"
"Pycnonotus penicillatus","6",6.8019311,80.8077656,"2/10/17"
"Pycnonotus penicillatus","2",6.9709007,80.7727211,"2/23/17"
"Pycnonotus penicillatus","2",6.9763422,80.7698099,"2/10/17"
"Pycnonotus penicillatus","5",6.8017992,80.8074045,"2/23/17"
"Pycnonotus penicillatus","1",6.9819598,80.7648578,"2/13/17"
"Pycnonotus penicillatus","1",6.9674935,80.7675362,"2/9/17"
"Pycnonotus penicillatus","X",6.8017992,80.8074045,"2/1/17"
"Pycnonotus penicillatus","2",6.9763422,80.7698099,"2/10/17"
"Pycnonotus penicillatus","2",6.9674935,80.7675362,"2/22/17"
"Pycnonotus penicillatus","1",6.9674935,80.7675362,"2/9/17"
"Pycnonotus penicillatus","2",6.9763422,80.7698099,"2/10/17"
"Pycnonotus penicillatus","6",6.8470542,80.8137136,"2/13/17"
"Pycnonotus penicillatus","6",6.8019311,80.8077656,"2/10/17"
"Pycnonotus penicillatus","2",6.9674935,80.7675362,"3/14/17"
"Pycnonotus penicillatus","6",6.8017992,80.8074045,"3/15/17"
"Pycnonotus penicillatus","X",6.7937452,80.8012247,"3/24/17"
"Pycnonotus penicillatus","X",6.8020159,80.833774,"3/25/17"
"Pycnonotus penicillatus","2",7.2974494,80.6426632,"3/14/17"
"Pycnonotus penicillatus","25",6.8117057,80.5000819,"3/17/17"
"Pycnonotus penicillatus","X",6.8020975,80.8074045,"3/28/17"
"Pycnonotus penicillatus","3",6.9617127,80.8010807,"4/20/17"
"Pycnonotus penicillatus","4",6.8017992,80.8074045,"4/28/17"
"Pycnonotus penicillatus","1",6.8017992,80.8074045,"4/21/17"
"Pycnonotus penicillatus","X",6.8017992,80.8074045,"5/23/17"
"Pycnonotus penicillatus","3",6.7937452,80.8012247,"6/23/17"
"Pycnonotus penicillatus","2",6.9663221,80.7779002,"6/11/17"
"Pycnonotus penicillatus","9",6.9257665,80.8217919,"7/9/17"
"Pycnonotus penicillatus","3",6.9674935,80.7675362,"7/10/17"
"Pycnonotus penicillatus","3",7.0006499,80.7733539,"7/14/17"
"Pycnonotus penicillatus","9",6.9257665,80.8217919,"7/9/17"
