Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
1.61758E-3,35.908706403,0.518708145,0.010982428,0.222222222,0
1.62209E-3,36.070915653,0.519689824,0.010882588,0.222222222,0
1.63543E-3,36.397257443,0.522576165,0.010682907,0.222222222,0
1.64019E-3,36.561276622,0.523603885,0.010583067,0.222222222,0
1.69445E-3,36.896315754,0.535146963,0.010383387,0.222222222,0
1.70137E-3,37.0664524,0.536598636,0.010283546,0.222222222,0
1.75719E-3,37.412429463,0.548147186,0.010083866,0.222222222,0
1.76547E-3,37.588976628,0.549835722,0.009984026,0.222222222,0
1.77561E-3,37.766538008,0.551895051,0.009884185,0.222222222,0
1.79887E-3,38.125706112,0.55658142,0.009684505,0.222222222,0
1.88101E-3,38.313806917,0.572745292,0.009584665,0.222222222,0
1.8966E-3,38.503467126,0.575746773,0.009484824,0.222222222,0
2.00677E-3,38.90332838,0.59635905,0.009285144,0.222222222,0
2.01097E-3,39.104425601,0.597125325,0.009185304,0.222222222,0
2.10686E-3,39.315111457,0.614216326,0.009085463,0.222222222,0
2.17767E-3,39.532878278,0.62637044,0.008985623,0.222222222,0
2.18057E-3,39.750935172,0.626860089,0.008885783,0.222222222,0
2.25314E-3,40.19510494,0.638903096,0.008686102,0.222222222,0
2.27952E-3,40.423056493,0.643183654,0.008586262,0.222222222,0
2.31688E-3,40.654744227,0.64915992,0.008486422,0.222222222,0
2.33865E-3,40.888608846,0.652595731,0.008386581,0.222222222,0
2.3752E-3,41.126128599,0.658289173,0.008286741,0.222222222,0
2.40182E-3,41.366310465,0.662377018,0.008186901,0.222222222,0
2.40503E-3,41.606813529,0.662866919,0.008087061,0.222222222,0
2.43701E-3,41.850514898,0.667706471,0.00798722,0.222222222,0
2.43701E-3,42.094216267,0.667706471,0.00788738,0.222222222,0
2.46042E-3,42.340258022,0.671203777,0.00778754,0.222222222,0
2.50528E-3,42.590785958,0.677805037,0.0076877,0.222222222,0
2.54502E-3,42.845288106,0.683542156,0.007587859,0.222222222,0
2.57216E-3,43.102504528,0.687401627,0.007488019,0.222222222,0
2.58083E-3,43.360587206,0.688623432,0.007388179,0.222222222,0
2.58958E-3,43.61954538,0.68985342,0.007288339,0.222222222,0
2.68254E-3,43.88779957,0.702617509,0.007188498,0.222222222,0
2.71448E-3,44.159247425,0.706880291,0.007088658,0.222222222,0
2.7419E-3,44.433437362,0.71049153,0.006988818,0.222222222,0
2.76823E-3,44.710260482,0.713917469,0.006888978,0.222222222,0
3.01867E-3,45.012127679,0.744541517,0.006789137,0.222222222,0
3.0269E-3,45.314817272,0.74548953,0.006689297,0.222222222,0
3.1379E-3,45.628607062,0.757946281,0.006589457,0.277777778,0
3.1518E-3,45.943787106,0.759462847,0.006489617,0.277777778,0
3.22208E-3,46.265995387,0.766985432,0.006389776,0.277777778,0
3.28025E-3,46.594020031,0.77303267,0.006289936,0.277777778,0
3.47088E-3,46.94110849,0.791774527,0.006190096,0.277777778,0
3.47088E-3,47.28819695,0.791774527,0.006090256,0.277777778,0
3.50055E-3,47.638252262,0.794548743,0.005990415,0.333333333,0
3.50422E-3,47.988673984,0.794888789,0.005890575,0.333333333,0
3.51185E-3,48.339858816,0.795595183,0.005790735,0.388888889,0
3.55568E-3,48.695426825,0.799605734,0.005690895,0.388888889,0
4.09515E-3,49.104942314,0.842976032,0.005591054,0.388888889,0
4.17931E-3,49.522873046,0.848837649,0.005491214,0.388888889,0
4.21062E-3,49.943935442,0.850962693,0.005391374,0.388888889,0
4.28291E-3,50.372226906,0.855754725,0.005291534,0.388888889,0
4.35311E-3,50.807538172,0.860260539,0.005191693,0.388888889,0
4.38272E-3,51.245810354,0.862118607,0.005091853,0.388888889,0
4.70216E-3,51.716026801,0.880659743,0.004992013,0.388888889,0
4.72313E-3,52.188339535,0.881785387,0.004892173,0.388888889,0
4.82378E-3,52.670717294,0.887043895,0.004792332,0.388888889,0
4.84435E-3,53.155152306,0.888089577,0.004692492,0.388888889,0
5.18675E-3,53.673826997,0.904138311,0.004592652,0.388888889,0
5.28491E-3,54.202318291,0.908299571,0.004492812,0.388888889,0
5.31483E-3,54.733801714,0.909531647,0.004392971,0.388888889,0
5.35103E-3,55.268904398,0.910999857,0.004293131,0.388888889,0
5.35282E-3,55.804186288,0.911071932,0.004193291,0.388888889,0
5.80122E-3,56.384308114,0.927389225,0.00409345,0.444444444,0
5.83479E-3,56.967787548,0.928483078,0.00399361,0.444444444,0
5.87576E-3,57.555363372,0.929795322,0.00389377,0.444444444,0
5.87576E-3,58.142939196,0.929795322,0.00379393,0.444444444,0
5.88512E-3,58.731451342,0.930091868,0.003694089,0.555555556,0
5.90704E-3,59.322155357,0.930781174,0.003594249,0.555555556,0
5.91775E-3,59.913930535,0.931115561,0.003494409,0.611111111,0
6.09021E-3,60.522951834,0.936282246,0.003394569,0.611111111,0
6.18056E-3,61.141008273,0.938832454,0.003294728,0.611111111,0
6.18137E-3,61.759145448,0.938854776,0.003194888,0.611111111,0
6.2865E-3,62.3877959,0.94169296,0.003095048,0.611111111,0
6.69807E-3,63.057602873,0.951592222,0.002995208,0.611111111,0
6.77669E-3,63.735272268,0.953282646,0.002895367,0.611111111,0
6.83519E-3,64.418790963,0.954501839,0.002795527,0.611111111,0
6.97592E-3,65.11638289,0.957306402,0.002695687,0.611111111,0
7.15105E-3,65.831487562,0.960556213,0.002595847,0.611111111,0
7.25945E-3,66.557432474,0.962442636,0.002496006,0.611111111,0
7.2697E-3,67.284402611,0.962616307,0.002396166,0.611111111,0
7.51965E-3,68.0363673,0.966610614,0.002296326,0.611111111,0
7.59906E-3,68.796273762,0.967788146,0.002196486,0.611111111,0
8.01885E-3,69.59815914,0.973356259,0.002096645,0.611111111,0
8.07515E-3,70.405674254,0.974025817,0.001996805,0.611111111,0
8.16601E-3,71.222275458,0.975071138,0.001896965,0.611111111,0
8.33084E-3,72.055359853,0.97686126,0.001797125,0.611111111,0
8.33092E-3,72.888452203,0.976862092,0.001697284,0.611111111,0
8.58097E-3,73.746549674,0.979335278,0.001597444,0.611111111,0
8.99076E-3,74.64562534,0.98282986,0.001497604,0.666666667,0
9.08754E-3,75.554378976,0.983564901,0.001397764,0.666666667,0
9.26196E-3,76.480574945,0.984811097,0.001297923,0.666666667,0
9.27552E-3,77.408127314,0.984903951,0.001198083,0.666666667,0
9.3912E-3,78.347247141,0.985673108,0.001098243,0.666666667,0
9.56679E-3,79.303926258,0.986766447,0.000998403,0.666666667,0
9.74108E-3,80.278034004,0.987769127,0.000898562,0.666666667,0
9.87833E-3,81.265867453,0.988505008,0.000798722,0.666666667,0
1.05231E-2,82.318179039,0.991411572,0.000698882,0.666666667,0
1.07635E-2,83.394530296,0.992296028,0.000599042,0.722222222,0
1.08391E-2,84.47843821,0.99255477,0.000499201,0.722222222,0
1.58999E-2,86.068430256,0.999244485,0.000399361,0.777777778,0
4.09728E-2,90.165713162,0.999999991,0.000299521,0.833333333,0
4.4043E-2,94.570015627,0.999999998,0.000199681,0.888888889,0
5.42998E-2,100,1,0.00009984,0.944444444,0
5.42998E-2,100,1,0,0.944444444,0
